Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Kazakhstan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",184.388,133.757,157.878,173.85,188.502,204.602,216.988,232.885,2015
Kenya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",63.624,68.919,75.099,80.755,87.733,95.086,103.327,112.798,2015
Kiribati,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.16,0.167,0.173,0.177,0.182,0.187,0.192,0.196,2014
Korea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,382.76","1,411.25","1,498.07","1,552.98","1,617.44","1,684.82","1,756.27","1,829.01",2016
Kosovo,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.444,6.707,6.809,7.174,7.575,8.041,8.534,9.032,2015
Kuwait,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",114.079,109.859,126.971,134.822,142.861,152.029,162.287,173.238,2015
Kyrgyz Republic,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.678,6.551,6.854,7.192,7.629,8.073,8.499,8.955,2015
Lao P.D.R.,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.561,13.79,14.971,16.282,17.813,19.475,21.251,23.123,2016
Latvia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.04,27.684,27.795,29.352,31.15,33.114,35.101,37.244,2016
Lebanon,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",50.8,51.991,53.915,56.329,59.229,62.266,65.387,68.66,2013
Lesotho,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.364,2.267,2.439,2.547,2.698,2.868,3.053,3.247,2015
Liberia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",2.038,2.111,2.215,2.348,2.532,2.768,2.952,3.217,2014
Libya,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",29.763,33.157,54.411,72.468,90.852,114.178,145.333,185.236,2015
Lithuania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",41.423,42.749,42.826,44.903,47.333,50.046,52.753,55.406,2016
Luxembourg,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.831,59.468,59.997,62.842,66.054,69.422,72.764,75.99,2015
Macao SAR,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",45.415,44.11,45.728,46.969,48.536,50.514,53.02,55.875,2015
FYR Macedonia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.054,10.912,10.951,11.467,12.108,12.852,13.597,14.345,2016
Madagascar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",9.744,9.74,10.372,11.021,11.817,12.668,13.601,14.558,2015
Malawi,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.407,5.492,6.182,6.67,7.045,7.528,8.073,8.661,2015
Malaysia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",296.284,296.359,309.86,338.233,375.134,410.548,448.597,488.959,2016
Maldives,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",3.192,3.379,3.578,3.821,4.084,4.367,4.667,4.989,2015
Mali,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.107,13.96,14.344,15.199,16.036,16.946,17.866,18.948,2015
Malta,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.293,10.953,11.164,11.749,12.366,13.008,13.631,14.241,2016
Marshall Islands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.179,0.183,0.188,0.193,0.199,0.205,0.211,0.216,2015
Mauritania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.844,4.714,5.063,5.012,5.037,5.289,5.588,5.882,2014
Mauritius,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.511,11.95,12.245,12.851,13.559,14.326,15.12,15.969,2016
Mexico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,151.04","1,046.00",987.303,"1,032.36","1,094.60","1,153.30","1,217.79","1,283.97",2016
Micronesia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.315,0.322,0.334,0.343,0.353,0.359,0.366,0.371,2015
Moldova,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",6.496,6.75,7.409,7.716,8.104,8.565,9.049,9.378,2015
Mongolia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.718,11.031,10.271,10.535,11.49,12.28,13.199,14.531,2016
Montenegro,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.022,4.126,4.185,4.375,4.565,4.758,4.975,5.198,2015
Morocco,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",100.593,103.615,105.623,110.865,117.248,124.309,131.627,139.435,2015
Mozambique,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",14.807,11.283,11.17,12.323,13.266,14.428,15.687,18.385,2016
Myanmar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",59.539,66.324,72.368,80.044,88.72,98.423,109.013,120.217,2016
Namibia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.497,10.646,11.765,12.522,13.295,14.073,14.844,15.637,2015
Nauru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.1,0.102,0.114,0.11,0.111,0.114,0.118,0.122,2015
Nepal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.314,21.154,23.316,25.501,27.678,29.986,32.403,35.013,2016
Netherlands,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",750.696,771.163,762.694,783.799,807.668,832.664,855.278,876.016,2016
New Zealand,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",173.256,181.991,198.043,206.885,216.82,227.075,237.928,249.513,2016
Nicaragua,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",12.693,13.049,13.748,14.663,15.635,16.69,17.785,18.967,2015
Niger,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",7.175,7.479,7.674,8.248,8.856,9.709,10.503,11.437,2015
Nigeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",493.841,405.952,400.621,472.07,557.417,613.061,633.914,656.933,2016
Norway,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",386.579,370.449,391.959,405.053,418.24,428.129,437.349,446.712,2016
Oman,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",69.831,63.171,71.325,75.621,78.886,82.636,86.498,90.483,2015
Pakistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",271.05,284.185,n/a,n/a,n/a,n/a,n/a,n/a,2016
Palau,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.284,0.293,0.315,0.338,0.358,0.376,0.392,0.407,2015
Panama,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",52.132,55.122,59.486,64.589,70.358,76.445,82.874,89.843,2015
Papua New Guinea,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",21.195,20.003,21.189,22.19,23.565,25.164,27.016,29.289,2013
Paraguay,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",27.283,27.441,28.743,30.021,31.697,33.61,35.598,37.635,2015
Peru,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",192.391,195.14,207.072,219.115,232.253,245.766,260.046,276.572,2015
Philippines,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",292.451,304.696,329.716,371.779,418.606,471.561,525.55,579.297,2016
Poland,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",477.058,467.591,482.92,510.541,539.46,568.284,600.017,633.199,2016
Portugal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",199.222,204.761,202.77,207.958,213.559,219.671,224.951,229.799,2016
Puerto Rico,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",102.906,101.304,99.727,97.754,96.647,95.481,94.053,93.095,2015
Qatar,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164.641,156.734,173.649,193.622,204.772,214.939,225.008,236.972,2014
Romania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",177.524,187.039,189.79,203.084,216.421,230.729,244.071,261.932,2016
Russia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,365.87","1,280.73","1,560.71","1,611.45","1,654.09","1,712.02","1,781.72","1,840.86",2016
Rwanda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.277,8.406,8.918,9.413,9.871,10.619,11.638,12.755,2016
Samoa,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.804,0.786,0.843,0.872,0.901,0.936,0.971,1.009,2016
San Marino,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.571,1.592,1.551,1.592,1.635,1.682,1.723,1.766,2015
São Tomé and Príncipe,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",0.318,0.35,0.355,0.379,0.409,0.443,0.5,0.536,2013
Saudi Arabia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",651.757,639.617,707.379,740.123,762.998,785.936,816.832,837.254,2016
Senegal,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",13.665,14.785,15.431,16.776,18.275,19.929,21.673,23.371,2016
Serbia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",37.16,37.745,37.739,39.873,42.432,45.457,48.584,51.829,2015
Seychelles,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.359,1.405,1.475,1.564,1.646,1.742,1.834,1.923,2014
Sierra Leone,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.543,3.981,4.088,4.472,4.87,5.387,5.934,6.802,2015
